66,,,,18,,1993-09-21,1993-09-22,,3,1.00,,,,,11,F,F,,,,,
67,,,,15,,1994-01-20,1994-03-21,,1,60.00,,,,,11,F,F,,,,,
68,,,,9,,1993-11-14,1994-01-16,,1,63.00,,,,,11,F,F,,,,,
69,,,,14,,1993-12-27,1994-01-23,,1,27.00,,,,,11,F,F,,,,,
70,,,,16,,1993-12-22,1993-12-23,,3,1.00,,,,,11,F,F,,,,,
71,,,,6,,1994-01-19,1994-04-20,,1,91.00,,,,,11,F,F,,,,,
72,,,,16,,1994-01-13,1994-01-17,,3,4.00,,,,,11,F,F,,,,,
73,,,,19,,,1994-02-13,,10,0.00,,,,,11,F,F,,,,,
74,,,,7,,1994-02-16,1994-06-15,,1,119.00,,,,,11,F,F,,,,,
75,,,,16,,1994-02-15,1994-02-16,,3,1.00,,,,,11,F,F,,,,,
76,,,,16,,1994-03-19,1994-03-20,,3,1.00,,,,,11,F,F,,,,,
77,,,,11,,1994-04-23,1994-05-24,,1,31.00,,,,,11,F,F,,,,,
78,,,,15,,1994-05-01,1994-04-30,,2,0.50,,,,,11,F,F,,,,,
79,,,,15,,1994-05-07,1994-05-08,,3,2.00,,,,,11,F,F,,,,,
80,,,,2,,1994-05-23,1994-08-20,,1,89.00,,,,,11,F,F,,,,,
81,,,,16,,1994-06-09,1994-06-09,,3,0.50,,,,,11,F,F,,,,,
82,,,,13,,1993-12-03,1993-12-03,,1,0.00,,,,,11,F,F,,,,,
83,,,,5,,1994-06-30,1994-09-25,,1,87.00,,,,,11,F,F,,,,,
84,,,,10,,1994-07-05,1994-07-13,,1,8.00,,,,,11,F,F,,,,,
85,,,,1,,1994-07-19,1994-08-31,,1,43.00,,,,,11,F,F,,,,,
86,,,,3,,1994-09-20,1994-12-01,,1,72.00,,,,,11,F,F,,,,,
87,,,,15,,1994-09-19,1994-09-21,,3,2.00,,,,,11,F,F,,,,,
88,,,,8,,1994-10-26,1995-01-05,,1,71.00,,,,,11,F,F,,,,,
89,,,,16,,1994-09-24,1994-09-24,,3,0.50,,,,,11,F,F,,,,,
