id,transaction_no,transaction_date,doc_ref_no,effectivity_date,employee_id,basic_income,housing_allowances,car_allowances,petrol_allowances,food_allowances,others,incentive,mobile_allowances,total_gross_pay,remarks,hr_remarks,mngt_remarks,hr_approved_by,mngt_approved_by,status_id,created_on,created_by,updated_on,updated_by
48,,1991-06-01,,1991-06-01,13,730,0,0,0,260,0,0,0,990,,,,,,5,,,2020-02-23 19:47:58,17
49,,1991-06-01,,1991-06-01,8,912.5,0,0,0,260,0,0,0,1172.5,,,,,,5,,,2020-02-23 19:47:58,17
50,,1991-06-01,,1991-06-01,9,1300,0,0,0,360,0,0,0,1660,,,,,,5,,,2020-02-23 19:47:58,17
51,,1991-06-01,,1991-06-01,11,1900,500,700,0,0,0,0,0,3100,,,,,,5,,,2020-02-23 19:47:58,17
52,,1991-06-01,,1991-06-01,7,1500,0,0,0,0,0,0,0,1500,,,,,,5,,,2020-02-23 19:47:58,17
53,,1991-08-01,,1991-08-01,14,5000,0,0,0,0,0,0,0,5000,,,,,,5,,,2020-02-23 19:47:58,17
54,,1991-06-01,,1991-06-01,1,2750,1000,400,0,0,0,0,0,4150,,,,,,5,,,2020-02-23 19:47:58,17
55,,1991-08-01,,1991-08-01,14,7000,0,0,0,0,0,0,0,7000,,,,,,5,,,2020-02-23 19:47:58,17
56,,1991-11-15,,1991-11-15,2,1300,300,0,0,0,0,0,0,1600,,,,,,5,,,2020-02-23 19:47:58,17
57,,1992-01-01,,1992-01-01,13,800,0,0,0,360,0,0,0,1160,,,,,,5,,,2020-02-23 19:47:58,17
58,,1992-01-01,,1992-01-01,1,3050,1350,500,0,0,100,0,0,5000,,,,,,5,,,2020-02-23 19:47:58,17
59,,1992-01-01,,1992-01-01,8,1000,0,0,0,360,0,0,0,1360,,,,,,5,,,2020-02-23 19:47:58,17
60,,1992-01-01,,1992-01-01,5,2800,650,0,0,0,0,0,0,3450,,,,,,5,,,2020-02-23 19:47:58,17
61,,1992-01-01,,1992-01-01,7,1850,0,0,0,0,0,0,0,1850,,,,,,5,,,2020-02-23 19:47:58,17
62,,1992-05-01,,1992-05-01,10,2170,1000,600,0,0,330,0,0,4100,,,,,,5,,,2020-02-23 19:47:58,17
63,,1992-01-01,,1992-01-01,9,1585,0,0,0,360,0,0,0,1945,,,,,,5,,,2020-02-23 19:47:58,17
64,,1992-05-19,,1992-05-19,20,1700,300,0,0,0,0,0,0,2000,,,,,,5,,,2020-02-23 19:47:58,17
65,,1993-05-06,,1993-05-06,16,1643,0,0,0,365,0,0,0,2008,,,,,,5,,,2020-02-23 19:47:58,17
